ID;Kategorie;Bezug;Beschreibung;DoD;Status;Prio;Sprint;Owner
1;Feature Implementierung;Zweitquelle Preise;Implementiere: Zweitquelle Preise;Code & Review;TODO;P0;Sprint 1;Owner
2;Unit-Test;Zweitquelle Preise;Unit-Tests für: Zweitquelle Preise;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
3;Integrationstest;Zweitquelle Preise;E2E: ETL→Feature/Signal→Report für: Zweitquelle Preise;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
4;Feature Implementierung;Corporate-Actions-Log;Implementiere: Corporate-Actions-Log;Code & Review;TODO;P0;Sprint 1;Owner
5;Unit-Test;Corporate-Actions-Log;Unit-Tests für: Corporate-Actions-Log;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
6;Integrationstest;Corporate-Actions-Log;E2E: ETL→Feature/Signal→Report für: Corporate-Actions-Log;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
7;Feature Implementierung;Börsenkalender;Implementiere: Börsenkalender;Code & Review;TODO;P0;Sprint 1;Owner
8;Unit-Test;Börsenkalender;Unit-Tests für: Börsenkalender;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
9;Integrationstest;Börsenkalender;E2E: ETL→Feature/Signal→Report für: Börsenkalender;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
10;Feature Implementierung;Sommer-/Winterzeit;Implementiere: Sommer-/Winterzeit;Code & Review;TODO;P1;Sprint 2;Owner
11;Unit-Test;Sommer-/Winterzeit;Unit-Tests für: Sommer-/Winterzeit;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
12;Integrationstest;Sommer-/Winterzeit;E2E: ETL→Feature/Signal→Report für: Sommer-/Winterzeit;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
13;Feature Implementierung;Ausreißer-Klassifikation;Implementiere: Ausreißer-Klassifikation;Code & Review;TODO;P1;Sprint 2;Owner
14;Unit-Test;Ausreißer-Klassifikation;Unit-Tests für: Ausreißer-Klassifikation;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
15;Integrationstest;Ausreißer-Klassifikation;E2E: ETL→Feature/Signal→Report für: Ausreißer-Klassifikation;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
16;Feature Implementierung;Volume-Sanity;Implementiere: Volume-Sanity;Code & Review;TODO;P1;Sprint 2;Owner
17;Unit-Test;Volume-Sanity;Unit-Tests für: Volume-Sanity;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
18;Integrationstest;Volume-Sanity;E2E: ETL→Feature/Signal→Report für: Volume-Sanity;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
